# Autogenerated from print_iod script.
IOD Microscopy Bulk Simple Annotations Storage

      URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
      ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
      ContextUID (0x00080117) ['UI'] ['M'] ['3']
      MappingResource (0x00080105) ['CS'] ['M'] ['1C']
      MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
      MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
      ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
      ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
      ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
      ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
    ContextUID (0x00080117) ['UI'] ['M'] ['3']
    MappingResource (0x00080105) ['CS'] ['M'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
NameOfPhysiciansReadingStudy (0x00081060) ['PN'] ['M'] ['3']
PhysiciansReadingStudyIdentificationSequence (0x00081062) ['SQ'] ['M'] ['3']
  PersonIdentificationCodeSequence (0x00401101) ['SQ'] ['M'] ['1']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
    EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
      CodeValue (0x00080100) ['SH'] ['M'] ['1C']
      CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
      CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
      CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
      LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
      URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
      ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
      ContextUID (0x00080117) ['UI'] ['M'] ['3']
      MappingResource (0x00080105) ['CS'] ['M'] ['1C']
      MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
      MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
      ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
      ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
      ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
      ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
    ContextUID (0x00080117) ['UI'] ['M'] ['3']
    MappingResource (0x00080105) ['CS'] ['M'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
  PersonAddress (0x00401102) ['ST'] ['M'] ['3']
  PersonTelephoneNumbers (0x00401103) ['LO'] ['M'] ['3']
  PersonTelecomInformation (0x00401104) ['LT'] ['M'] ['3']
  InstitutionName (0x00080080) ['LO'] ['M'] ['1C']
  InstitutionAddress (0x00080081) ['ST'] ['M'] ['3']
  InstitutionCodeSequence (0x00080082) ['SQ'] ['M'] ['1C']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
    EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
      CodeValue (0x00080100) ['SH'] ['M'] ['1C']
      CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
      CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
      CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
      LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
      URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
      ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
      ContextUID (0x00080117) ['UI'] ['M'] ['3']
      MappingResource (0x00080105) ['CS'] ['M'] ['1C']
      MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
      MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
      ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
      ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
      ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
      ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
    ContextUID (0x00080117) ['UI'] ['M'] ['3']
    MappingResource (0x00080105) ['CS'] ['M'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
  InstitutionalDepartmentName (0x00081040) ['LO'] ['M'] ['3']
  InstitutionalDepartmentTypeCodeSequence (0x00081041) ['SQ'] ['M'] ['3']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
    EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
      CodeValue (0x00080100) ['SH'] ['M'] ['1C']
      CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
      CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
      CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
      LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
      URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
      ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
      ContextUID (0x00080117) ['UI'] ['M'] ['3']
      MappingResource (0x00080105) ['CS'] ['M'] ['1C']
      MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
      MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
      ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
      ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
      ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
      ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
    ContextUID (0x00080117) ['UI'] ['M'] ['3']
    MappingResource (0x00080105) ['CS'] ['M'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
RequestingService (0x00321033) ['LO'] ['M'] ['3']
RequestingServiceCodeSequence (0x00321034) ['SQ'] ['M'] ['3']
  CodeValue (0x00080100) ['SH'] ['M'] ['1C']
  CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
  CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
  CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
  LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
  URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
  EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
    ContextUID (0x00080117) ['UI'] ['M'] ['3']
    MappingResource (0x00080105) ['CS'] ['M'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
  ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
  ContextUID (0x00080117) ['UI'] ['M'] ['3']
  MappingResource (0x00080105) ['CS'] ['M'] ['1C']
  MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
  MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
  ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
  ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
  ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
  ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
ReferencedStudySequence (0x00081110) ['SQ'] ['M'] ['3']
  ReferencedSOPClassUID (0x00081150) ['UI'] ['M'] ['1']
  ReferencedSOPInstanceUID (0x00081155) ['UI'] ['M'] ['1']
ProcedureCodeSequence (0x00081032) ['SQ'] ['M'] ['3']
  CodeValue (0x00080100) ['SH'] ['M'] ['1C']
  CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
  CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
  CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
  LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
  URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
  EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
    ContextUID (0x00080117) ['UI'] ['M'] ['3']
    MappingResource (0x00080105) ['CS'] ['M'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
  ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
  ContextUID (0x00080117) ['UI'] ['M'] ['3']
  MappingResource (0x00080105) ['CS'] ['M'] ['1C']
  MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
  MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
  ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
  ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
  ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
  ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
ReasonForPerformedProcedureCodeSequence (0x00401012) ['SQ'] ['M'] ['3']
  CodeValue (0x00080100) ['SH'] ['M'] ['1C']
  CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
  CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
  CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
  LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
  URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
  EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
    ContextUID (0x00080117) ['UI'] ['M'] ['3']
    MappingResource (0x00080105) ['CS'] ['M'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
  ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
  ContextUID (0x00080117) ['UI'] ['M'] ['3']
  MappingResource (0x00080105) ['CS'] ['M'] ['1C']
  MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
  MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
  ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
  ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
  ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
  ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
AdmittingDiagnosesDescription (0x00081080) ['LO'] ['U'] ['3']
AdmittingDiagnosesCodeSequence (0x00081084) ['SQ'] ['U'] ['3']
  CodeValue (0x00080100) ['SH'] ['U'] ['1C']
  CodingSchemeDesignator (0x00080102) ['SH'] ['U'] ['1C']
  CodingSchemeVersion (0x00080103) ['SH'] ['U'] ['1C']
  CodeMeaning (0x00080104) ['LO'] ['U'] ['1']
  LongCodeValue (0x00080119) ['UC'] ['U'] ['1C']
  URNCodeValue (0x00080120) ['UR'] ['U'] ['1C']
  EquivalentCodeSequence (0x00080121) ['SQ'] ['U'] ['3']
    CodeValue (0x00080100) ['SH'] ['U'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['U'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['U'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['U'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['U'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['U'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['U'] ['3']
    ContextUID (0x00080117) ['UI'] ['U'] ['3']
    MappingResource (0x00080105) ['CS'] ['U'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['U'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['U'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['U'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['U'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['U'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['U'] ['1C']
  ContextIdentifier (0x0008010F) ['CS'] ['U'] ['3']
  ContextUID (0x00080117) ['UI'] ['U'] ['3']
  MappingResource (0x00080105) ['CS'] ['U'] ['1C']
  MappingResourceUID (0x00080118) ['UI'] ['U'] ['3']
  MappingResourceName (0x00080122) ['LO'] ['U'] ['3']
  ContextGroupVersion (0x00080106) ['DT'] ['U'] ['1C']
  ContextGroupExtensionFlag (0x0008010B) ['CS'] ['U'] ['3']
  ContextGroupLocalVersion (0x00080107) ['DT'] ['U'] ['1C']
  ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['U'] ['1C']
PatientAge (0x00101010) ['AS'] ['U'] ['3']
PatientSize (0x00101020) ['DS'] ['U'] ['3']
PatientWeight (0x00101030) ['DS'] ['U'] ['3']
PatientBodyMassIndex (0x00101022) ['DS'] ['U'] ['3']
MeasuredAPDimension (0x00101023) ['DS'] ['U'] ['3']
MeasuredLateralDimension (0x00101024) ['DS'] ['U'] ['3']
PatientSizeCodeSequence (0x00101021) ['SQ'] ['U'] ['3']
  CodeValue (0x00080100) ['SH'] ['U'] ['1C']
  CodingSchemeDesignator (0x00080102) ['SH'] ['U'] ['1C']
  CodingSchemeVersion (0x00080103) ['SH'] ['U'] ['1C']
  CodeMeaning (0x00080104) ['LO'] ['U'] ['1']
  LongCodeValue (0x00080119) ['UC'] ['U'] ['1C']
  URNCodeValue (0x00080120) ['UR'] ['U'] ['1C']
  EquivalentCodeSequence (0x00080121) ['SQ'] ['U'] ['3']
    CodeValue (0x00080100) ['SH'] ['U'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['U'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['U'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['U'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['U'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['U'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['U'] ['3']
    ContextUID (0x00080117) ['UI'] ['U'] ['3']
    MappingResource (0x00080105) ['CS'] ['U'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['U'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['U'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['U'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['U'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['U'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['U'] ['1C']
  ContextIdentifier (0x0008010F) ['CS'] ['U'] ['3']
  ContextUID (0x00080117) ['UI'] ['U'] ['3']
  MappingResource (0x00080105) ['CS'] ['U'] ['1C']
  MappingResourceUID (0x00080118) ['UI'] ['U'] ['3']
  MappingResourceName (0x00080122) ['LO'] ['U'] ['3']
  ContextGroupVersion (0x00080106) ['DT'] ['U'] ['1C']
  ContextGroupExtensionFlag (0x0008010B) ['CS'] ['U'] ['3']
  ContextGroupLocalVersion (0x00080107) ['DT'] ['U'] ['1C']
  ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['U'] ['1C']
MedicalAlerts (0x00102000) ['LO'] ['U'] ['3']
Allergies (0x00102110) ['LO'] ['U'] ['3']
SmokingStatus (0x001021A0) ['CS'] ['U'] ['3']
PregnancyStatus (0x001021C0) ['US'] ['U'] ['3']
LastMenstrualDate (0x001021D0) ['DA'] ['U'] ['3']
PatientState (0x00380500) ['LO'] ['U'] ['3']
Occupation (0x00102180) ['SH'] ['U'] ['3']
AdditionalPatientHistory (0x001021B0) ['LT'] ['U'] ['3']
AdmissionID (0x00380010) ['LO'] ['U'] ['3']
IssuerOfAdmissionIDSequence (0x00380014) ['SQ'] ['U'] ['3']
  LocalNamespaceEntityID (0x00400031) ['UT'] ['U'] ['1C']
  UniversalEntityID (0x00400032) ['UT'] ['U'] ['1C']
  UniversalEntityIDType (0x00400033) ['CS'] ['U'] ['1C']
ReasonForVisit (0x00321066) ['UT'] ['U'] ['3']
ReasonForVisitCodeSequence (0x00321067) ['SQ'] ['U'] ['3']
  CodeValue (0x00080100) ['SH'] ['U'] ['1C']
  CodingSchemeDesignator (0x00080102) ['SH'] ['U'] ['1C']
  CodingSchemeVersion (0x00080103) ['SH'] ['U'] ['1C']
  CodeMeaning (0x00080104) ['LO'] ['U'] ['1']
  LongCodeValue (0x00080119) ['UC'] ['U'] ['1C']
  URNCodeValue (0x00080120) ['UR'] ['U'] ['1C']
  EquivalentCodeSequence (0x00080121) ['SQ'] ['U'] ['3']
    CodeValue (0x00080100) ['SH'] ['U'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['U'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['U'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['U'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['U'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['U'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['U'] ['3']
    ContextUID (0x00080117) ['UI'] ['U'] ['3']
    MappingResource (0x00080105) ['CS'] ['U'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['U'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['U'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['U'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['U'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['U'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['U'] ['1C']
  ContextIdentifier (0x0008010F) ['CS'] ['U'] ['3']
  ContextUID (0x00080117) ['UI'] ['U'] ['3']
  MappingResource (0x00080105) ['CS'] ['U'] ['1C']
  MappingResourceUID (0x00080118) ['UI'] ['U'] ['3']
  MappingResourceName (0x00080122) ['LO'] ['U'] ['3']
  ContextGroupVersion (0x00080106) ['DT'] ['U'] ['1C']
  ContextGroupExtensionFlag (0x0008010B) ['CS'] ['U'] ['3']
  ContextGroupLocalVersion (0x00080107) ['DT'] ['U'] ['1C']
  ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['U'] ['1C']
ServiceEpisodeID (0x00380060) ['LO'] ['U'] ['3']
IssuerOfServiceEpisodeIDSequence (0x00380064) ['SQ'] ['U'] ['3']
  LocalNamespaceEntityID (0x00400031) ['UT'] ['U'] ['1C']
  UniversalEntityID (0x00400032) ['UT'] ['U'] ['1C']
  UniversalEntityIDType (0x00400033) ['CS'] ['U'] ['1C']
ServiceEpisodeDescription (0x00380062) ['LO'] ['U'] ['3']
PatientSexNeutered (0x00102203) ['CS'] ['U'] ['2C']
ClinicalTrialTimePointID (0x00120050) ['LO'] ['U'] ['2']
ClinicalTrialTimePointDescription (0x00120051) ['ST'] ['U'] ['3']
ClinicalTrialTimePointTypeCodeSequence (0x00120054) ['SQ'] ['U'] ['3']
  CodeValue (0x00080100) ['SH'] ['U'] ['1C']
  CodingSchemeDesignator (0x00080102) ['SH'] ['U'] ['1C']
  CodingSchemeVersion (0x00080103) ['SH'] ['U'] ['1C']
  CodeMeaning (0x00080104) ['LO'] ['U'] ['1']
  LongCodeValue (0x00080119) ['UC'] ['U'] ['1C']
  URNCodeValue (0x00080120) ['UR'] ['U'] ['1C']
  EquivalentCodeSequence (0x00080121) ['SQ'] ['U'] ['3']
    CodeValue (0x00080100) ['SH'] ['U'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['U'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['U'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['U'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['U'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['U'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['U'] ['3']
    ContextUID (0x00080117) ['UI'] ['U'] ['3']
    MappingResource (0x00080105) ['CS'] ['U'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['U'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['U'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['U'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['U'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['U'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['U'] ['1C']
  ContextIdentifier (0x0008010F) ['CS'] ['U'] ['3']
  ContextUID (0x00080117) ['UI'] ['U'] ['3']
  MappingResource (0x00080105) ['CS'] ['U'] ['1C']
  MappingResourceUID (0x00080118) ['UI'] ['U'] ['3']
  MappingResourceName (0x00080122) ['LO'] ['U'] ['3']
  ContextGroupVersion (0x00080106) ['DT'] ['U'] ['1C']
  ContextGroupExtensionFlag (0x0008010B) ['CS'] ['U'] ['3']
  ContextGroupLocalVersion (0x00080107) ['DT'] ['U'] ['1C']
  ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['U'] ['1C']
LongitudinalTemporalOffsetFromEvent (0x00120052) ['FD'] ['U'] ['3']
LongitudinalTemporalEventType (0x00120053) ['CS'] ['U'] ['1C']
ConsentForClinicalTrialUseSequence (0x00120083) ['SQ'] ['U'] ['3']
  DistributionType (0x00120084) ['CS'] ['U'] ['1C']
  ClinicalTrialProtocolID (0x00120020) ['LO'] ['U'] ['1C']
  ConsentForDistributionFlag (0x00120085) ['CS'] ['U'] ['1']
Modality (0x00080060) ['CS'] ['M'] ['1']
SeriesInstanceUID (0x0020000E) ['UI'] ['M'] ['1']
SeriesNumber (0x00200011) ['IS'] ['M'] ['2', '1']
Laterality (0x00200060) ['CS'] ['M'] ['2C']
SeriesDate (0x00080021) ['DA'] ['M'] ['3']
SeriesTime (0x00080031) ['TM'] ['M'] ['3']
PerformingPhysicianName (0x00081050) ['PN'] ['M'] ['3']
PerformingPhysicianIdentificationSequence (0x00081052) ['SQ'] ['M'] ['3']
  PersonIdentificationCodeSequence (0x00401101) ['SQ'] ['M'] ['1']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
    EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
      CodeValue (0x00080100) ['SH'] ['M'] ['1C']
      CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
      CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
      CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
      LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
      URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
      ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
      ContextUID (0x00080117) ['UI'] ['M'] ['3']
      MappingResource (0x00080105) ['CS'] ['M'] ['1C']
      MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
      MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
